bg20_id,hu_2010,hu_2020,pop_2010,pop_2020,hu_chng_p,pop_chng_p,hu_chng,pop_chng
250010101001,1136,1271,763,992,11.883802816901408,30.013106159895152,135,229
250010101002,921,957,494,637,3.908794788273615,28.947368421052634,36,143
250010101003,786,877,569,642,11.577608142493638,12.82952548330404,91,73
250010101004,791,960,516,729,21.3653603034134,41.27906976744186,169,213
250010101005,860,918,600,664,6.744186046511628,10.666666666666668,58,64
250010102061,996,1002,660,926,0.6024096385542169,40.303030303030305,6,266
250010102062,1430,1390,911,1113,-2.797202797202797,22.17343578485181,-40,202
250010102063,1880,1871,1179,1527,-0.4787234042553191,29.51653944020356,-9,348
250010102081,990,1006,787,892,1.6161616161616161,13.341804320203304,16,105
250010102082,1039,996,603,768,-4.138594802694899,27.363184079601986,-43,165
250010102083,1047,999,613,794,-4.584527220630372,29.526916802610113,-48,181
250010103041,1064,1080,1066,1153,1.5037593984962405,8.161350844277674,16,87
250010103042,1110,1107,742,889,-0.2702702702702703,19.81132075471698,-3,147
250010103043,531,562,613,630,5.83804143126177,2.7732463295269167,31,17
250010103061,1238,1230,920,1115,-0.6462035541195477,21.195652173913043,-8,195
250010103062,1153,1228,918,1125,6.504770164787511,22.54901960784314,75,207
250010103063,863,898,697,840,4.055619930475087,20.516499282639884,35,143
250010104001,580,582,766,825,0.3448275862068966,7.702349869451696,2,59
250010104002,656,710,758,872,8.231707317073171,15.03957783641161,54,114
250010104003,398,422,639,669,6.030150753768844,4.694835680751173,24,30
250010104004,725,745,837,979,2.7586206896551726,16.965352449223417,20,142
250010105001,1072,1128,1233,1217,5.223880597014925,-1.2976480129764802,56,-16
250010105002,1157,1184,840,877,2.33362143474503,4.404761904761905,27,37
250010105003,756,769,818,868,1.7195767195767195,6.112469437652812,13,50
250010106001,743,741,615,632,-0.2691790040376851,2.7642276422764227,-2,17
250010106002,653,655,807,834,0.3062787136294028,3.3457249070631967,2,27
250010106003,954,939,1125,1180,-1.5723270440251573,4.888888888888889,-15,55
250010106004,647,624,427,488,-3.554868624420402,14.285714285714285,-23,61
250010107001,741,803,930,968,8.367071524966262,4.086021505376344,62,38
250010107002,1662,1637,836,1000,-1.5042117930204573,19.617224880382775,-25,164
250010107003,1342,1315,753,896,-2.011922503725782,18.99070385126162,-27,143
250010107004,600,598,633,596,-0.33333333333333337,-5.845181674565561,-2,-37
250010108001,504,529,863,944,4.9603174603174605,9.385863267670915,25,81
250010108002,822,831,528,503,1.094890510948905,-4.734848484848484,9,-25
250010108003,879,956,768,805,8.75995449374289,4.817708333333334,77,37
250010108004,451,453,702,706,0.4434589800443459,0.5698005698005698,2,4
250010108005,1132,1309,2016,1961,15.636042402826856,-2.7281746031746033,177,-55
250010109001,1166,1188,1826,1863,1.8867924528301887,2.026286966046002,22,37
250010109002,571,584,1045,1152,2.276707530647986,10.239234449760765,13,107
250010109003,1248,1334,1362,1550,6.891025641025641,13.803230543318648,86,188
250010109004,1177,1059,711,834,-10.025488530161427,17.29957805907173,-118,123
250010110021,402,416,673,733,3.482587064676617,8.915304606240714,14,60
250010110022,796,818,810,969,2.763819095477387,19.62962962962963,22,159
250010110023,1207,1178,502,596,-2.4026512013256007,18.725099601593627,-29,94
250010110024,1107,1167,2172,2306,5.420054200542006,6.169429097605893,60,134
250010111001,677,688,979,986,1.6248153618906942,0.7150153217568949,11,7
250010111002,590,622,1068,1202,5.423728813559322,12.54681647940075,32,134
250010111003,992,1016,1531,1705,2.4193548387096775,11.365120836054867,24,174
250010111004,824,838,1114,1182,1.6990291262135921,6.104129263913824,14,68
250010112001,1282,1307,1149,1292,1.9500780031201248,12.445604873803308,25,143
250010112002,795,811,1126,1193,2.0125786163522013,5.950266429840142,16,67
250010112003,585,591,523,565,1.0256410256410255,8.030592734225621,6,42
250010112004,1026,1033,594,711,0.682261208576998,19.696969696969695,7,117
250010113001,975,981,639,620,0.6153846153846154,-2.97339593114241,6,-19
250010113002,864,866,1221,1206,0.23148148148148145,-1.2285012285012284,2,-15
250010113003,850,865,742,743,1.7647058823529411,0.13477088948787064,15,1
250010114001,633,666,792,784,5.213270142180095,-1.0101010101010102,33,-8
250010114002,783,783,1101,995,0,-9.627611262488648,0,-106
250010114003,587,613,429,439,4.429301533219761,2.331002331002331,26,10
250010114004,658,666,669,834,1.21580547112462,24.663677130044842,8,165
250010115001,477,497,676,712,4.1928721174004195,5.325443786982249,20,36
250010115002,669,672,1080,983,0.4484304932735426,-8.981481481481483,3,-97
250010115003,547,572,612,680,4.570383912248629,11.11111111111111,25,68
250010115004,530,564,867,939,6.415094339622642,8.304498269896193,34,72
250010115005,492,506,794,818,2.8455284552845526,3.022670025188917,14,24
250010116001,1139,1194,1513,1630,4.8287971905179985,7.732980832782552,55,117
250010116002,1245,1219,615,689,-2.0883534136546187,12.032520325203253,-26,74
250010116003,2428,2466,582,684,1.5650741350906094,17.525773195876287,38,102
250010117001,543,534,639,630,-1.6574585635359116,-1.4084507042253522,-9,-9
250010117002,846,834,491,520,-1.4184397163120568,5.906313645621181,-12,29
250010117003,1320,1301,747,768,-1.4393939393939394,2.8112449799196786,-19,21
250010118011,1092,1042,1480,1472,-4.5787545787545785,-0.5405405405405406,-50,-8
250010118012,621,634,923,971,2.0933977455716586,5.200433369447454,13,48
250010118021,467,473,834,844,1.284796573875803,1.1990407673860912,6,10
250010118022,464,497,844,919,7.112068965517242,8.886255924170616,33,75
250010118023,821,847,1439,1520,3.1668696711327646,5.628908964558722,26,81
250010118024,609,614,1138,1177,0.8210180623973727,3.427065026362039,5,39
250010120011,1103,1096,1583,1630,-0.6346328195829556,2.9690461149715732,-7,47
250010120012,925,928,1505,1590,0.3243243243243243,5.647840531561462,3,85
250010120013,725,727,1259,1336,0.27586206896551724,6.115965051628276,2,77
250010120014,800,804,1385,1422,0.5,2.6714801444043323,4,37
250010120021,789,794,1200,1224,0.6337135614702154,2,5,24
250010120022,1153,1211,1112,1287,5.030355594102342,15.737410071942445,58,175
250010120023,1229,1249,695,754,1.627339300244101,8.489208633093526,20,59
250010121011,790,794,1621,1624,0.5063291139240507,0.1850709438618137,4,3
250010121012,605,603,1046,1116,-0.3305785123966942,6.692160611854685,-2,70
250010121013,540,542,874,970,0.3703703703703704,10.983981693363845,2,96
250010121014,533,539,764,820,1.125703564727955,7.329842931937172,6,56
250010121015,696,694,1033,1078,-0.28735632183908044,4.356243949661181,-2,45
250010121021,1026,1017,811,799,-0.8771929824561403,-1.4796547472256474,-9,-12
250010121022,991,986,683,710,-0.5045408678102926,3.953147877013177,-5,27
250010121023,919,620,698,605,-32.53536452665941,-13.32378223495702,-299,-93
250010121024,567,588,866,1155,3.7037037037037033,33.37182448036952,21,289
250010122001,700,710,1368,1406,1.4285714285714286,2.7777777777777777,10,38
250010122002,486,501,836,854,3.0864197530864197,2.15311004784689,15,18
250010122003,1056,1080,2257,2217,2.272727272727273,-1.7722640673460344,24,-40
250010122004,483,494,585,578,2.2774327122153206,-1.1965811965811968,11,-7
250010125021,1010,992,638,807,-1.782178217821782,26.489028213166144,-18,169
250010125022,593,648,825,947,9.27487352445194,14.787878787878789,55,122
250010125023,593,592,885,1040,-0.16863406408094433,17.51412429378531,-1,155
250010125024,496,496,731,915,0,25.170998632010942,0,184
250010126011,857,941,1865,2164,9.801633605600934,16.032171581769436,84,299
250010126012,448,459,1012,1134,2.455357142857143,12.055335968379447,11,122
250010126021,609,609,1298,1480,0,14.021571648690292,0,182
250010126022,633,644,1403,1765,1.7377567140600316,25.80185317177477,11,362
250010126023,546,549,1221,1284,0.5494505494505495,5.159705159705159,3,63
250010126024,488,532,993,1139,9.01639344262295,14.70292044310171,44,146
250010127001,810,809,1399,1405,-0.12345679012345678,0.42887776983559683,-1,6
250010127002,598,579,1015,1010,-3.177257525083612,-0.49261083743842365,-19,-5
250010127003,686,686,760,834,0,9.736842105263158,0,74
250010127004,1140,1146,1389,1393,0.5263157894736842,0.28797696184305255,6,4
250010128001,599,549,911,1011,-8.347245409015025,10.976948408342482,-50,100
250010128002,730,743,1139,1186,1.7808219178082192,4.1264266900790165,13,47
250010128003,842,869,1873,1923,3.2066508313539197,2.669514148424987,27,50
250010129001,487,508,1117,1165,4.312114989733059,4.297224709042077,21,48
250010129002,639,651,1395,1501,1.8779342723004695,7.598566308243727,12,106
250010129003,802,805,1623,1707,0.3740648379052369,5.175600739371535,3,84
250010130021,713,863,506,559,21.037868162692845,10.474308300395258,150,53
250010130022,682,660,494,451,-3.225806451612903,-8.704453441295547,-22,-43
250010130023,699,729,870,880,4.291845493562231,1.1494252873563218,30,10
250010130024,644,656,1029,1098,1.8633540372670807,6.705539358600583,12,69
250010131001,583,617,1236,1319,5.831903945111493,6.715210355987054,34,83
250010131002,1028,1049,2292,2343,2.0428015564202333,2.225130890052356,21,51
250010131003,283,296,685,694,4.593639575971731,1.313868613138686,13,9
250010131004,700,714,1722,1613,2,-6.329849012775841,14,-109
250010132001,1021,1049,1152,1264,2.742409402546523,9.722222222222223,28,112
250010132002,1095,1210,2473,2693,10.50228310502283,8.896077638495754,115,220
250010132003,732,742,1157,1180,1.366120218579235,1.9878997407087293,10,23
