ct10_id,hu_2020,hu_2010,pop_2020,pop_2010,ohu_2020,hu_chng_p,pop_chng_p,hu_chng,pop_chng
25001010100,4983,4494,3670,2942,2199,10.881174899866489,24.7450713800136,489,728
25001010206,4256,4305,3569,2750,1797,-1.1382113821138211,29.78181818181818,-49,819
25001010208,2998,3077,2451,2003,1249,-2.5674358141046474,22.366450324513227,-79,448
25001010304,2750,2706,2672,2421,1311,1.6260162601626018,10.36761668731929,44,251
25001010306,3359,3254,3078,2535,1491,3.2267977873386604,21.420118343195266,105,543
25001010400,2457,2359,3346,2999,1633,4.154302670623145,11.570523507835945,98,347
25001010500,3081,2985,2962,2891,1493,3.2160804020100504,2.455897613282601,96,71
25001010600,2958,2998,3135,2973,1531,-1.33422281521014,5.449041372351161,-40,162
25001010700,4354,4345,3460,3152,1765,0.20713463751438435,9.771573604060913,9,308
25001010800,4076,3788,4918,4878,2298,7.602956705385427,0.8200082000820008,288,40
25001010900,4161,4160,5385,4942,2470,0.02403846153846154,8.963982193443949,1,443
25001011002,3577,3512,4606,4157,2010,1.8507972665148062,10.801058455617031,65,449
25001011100,3168,3084,5081,4694,2274,2.7237354085603114,8.244567533020877,84,387
25001011200,3738,3688,3764,3392,1911,1.3557483731019524,10.966981132075473,50,372
25001011300,2711,2690,2570,2600,1294,0.7806691449814126,-1.153846153846154,21,-30
25001011400,2728,2660,3050,2991,1564,2.556390977443609,1.972584419926446,68,59
25001011500,2808,2715,4130,4029,1921,3.4254143646408837,2.506825515016133,93,101
25001011600,4879,4812,3004,2710,1597,1.3923524522028263,10.84870848708487,67,294
25001011700,2671,2709,1916,1877,1054,-1.402731635289775,2.0777836973894512,-38,39
25001011801,1676,1713,2443,2403,1316,-2.1599532983070637,1.6645859342488558,-37,40
25001011802,2431,2360,4458,4255,1958,3.0084745762711864,4.770857814336075,71,203
25001012001,3556,3553,5978,5732,2632,0.08443568815085843,4.291695743196092,3,246
25001012002,3256,3171,3266,3007,1634,2.6805424156417534,8.613235783172597,85,259
25001012101,3174,3164,5608,5339,2425,0.31605562579013907,5.038396703502528,10,269
25001012102,3215,3503,3269,3057,1530,-8.221524407650586,6.934903500163559,-288,212
25001012200,2786,2726,5053,5046,2165,2.201027146001467,0.13872374157748713,60,7
25001012502,2725,2691,3709,3080,1620,1.26347082868822,20.42207792207792,34,629
25001012601,1398,1305,3298,2877,1248,7.126436781609195,14.633298574904414,93,421
25001012602,2334,2276,5668,4915,2140,2.5483304042179262,15.320447609359105,58,753
25001012700,3218,3235,4644,4562,2045,-0.5255023183925811,1.7974572555896537,-17,82
25001012800,2160,2171,4121,3923,1748,-0.5066789497927222,5.047157787407596,-11,198
25001012900,1965,1928,4374,4135,1767,1.9190871369294606,5.779927448609431,37,239
25001013002,2910,2738,2984,2899,1431,6.281957633308985,2.932045532942394,172,85
25001013100,2676,2594,5971,5935,2424,3.1611410948342327,0.6065711878685762,82,36
25001013200,3002,2848,5135,4783,2185,5.407303370786517,7.35939786744721,154,352
25001013300,2091,2039,3273,3218,1531,2.550269740068661,1.709136109384711,52,55
25001013400,2356,2302,3894,4163,1580,2.3457862728062553,-6.4616862839298586,54,-269
25001013500,2814,2790,6885,6940,2576,0.8602150537634409,-0.792507204610951,24,-55
25001013600,2424,2345,6203,6334,2284,3.3688699360341148,-2.0682033470161034,79,-131
25001013700,2266,2125,5433,4911,1875,6.635294117647058,10.62919975565058,141,522
25001013800,2340,2270,5054,4840,2023,3.0837004405286343,4.421487603305785,70,214
25001013900,2993,2887,4888,4831,2329,3.6716314513335644,1.1798799420409853,106,57
25001014002,3203,3074,4281,4053,2087,4.196486662329213,5.625462620281273,129,228
25001014100,342,450,798,1141,165,-24,-30.061349693251532,-108,-343
25001014300,3765,3676,4594,4384,2082,2.4211099020674647,4.79014598540146,89,210
25001014402,3609,3485,7199,6947,2950,3.5581061692969875,3.627465092845833,124,252
25001014500,3213,3080,5484,5395,2311,4.318181818181818,1.64967562557924,133,89
25001014600,2738,2604,4382,4130,1964,5.145929339477727,6.101694915254238,134,252
25001014700,3231,3225,3645,3690,1769,0.18604651162790697,-1.2195121951219512,6,-45
25001014800,3028,2740,3592,3387,2095,10.510948905109489,6.052553882491881,288,205
25001014900,3232,3160,3627,3598,1839,2.278481012658228,0.8060033351862147,72,29
25001015001,2035,2031,4450,4417,1773,0.19694731659281145,0.7471134254018564,4,33
25001015002,2547,2166,4145,3713,2040,17.590027700831026,11.63479666038244,381,432
25001015100,2698,2389,4191,3809,1973,12.934282126412725,10.028878970858493,309,382
25001015200,3477,3295,2263,2065,1134,5.523520485584219,9.588377723970943,182,198
