ct10_id,muni_id,muni_name,cosub_cn10,join_type
25001010100,242,Provincetown,2500155500,max_area_overlap
25001010206,318,Wellfleet,2500174385,max_area_overlap
25001010208,300,Truro,2500170605,max_area_overlap
25001010304,86,Eastham,2500119295,max_area_overlap
25001010306,86,Eastham,2500119295,max_area_overlap
25001010400,224,Orleans,2500151440,max_area_overlap
25001010500,224,Orleans,2500151440,max_area_overlap
25001010600,55,Chatham,2500112995,max_area_overlap
25001010700,55,Chatham,2500112995,max_area_overlap
25001010800,41,Brewster,2500107980,max_area_overlap
25001010900,41,Brewster,2500107980,max_area_overlap
25001011002,126,Harwich,2500129020,max_area_overlap
25001011100,126,Harwich,2500129020,max_area_overlap
25001011200,126,Harwich,2500129020,max_area_overlap
25001011300,75,Dennis,2500116775,max_area_overlap
25001011400,75,Dennis,2500116775,max_area_overlap
25001011500,75,Dennis,2500116775,max_area_overlap
25001011600,75,Dennis,2500116775,max_area_overlap
25001011700,75,Dennis,2500116775,max_area_overlap
25001011801,351,Yarmouth,2500182525,max_area_overlap
25001011802,351,Yarmouth,2500182525,max_area_overlap
25001012001,351,Yarmouth,2500182525,max_area_overlap
25001012002,351,Yarmouth,2500182525,max_area_overlap
25001012101,351,Yarmouth,2500182525,max_area_overlap
25001012102,351,Yarmouth,2500182525,max_area_overlap
25001012200,20,Barnstable,2500103690,max_area_overlap
25001012502,20,Barnstable,2500103690,max_area_overlap
25001012601,20,Barnstable,2500103690,max_area_overlap
25001012602,20,Barnstable,2500103690,max_area_overlap
25001012700,20,Barnstable,2500103690,max_area_overlap
25001012800,20,Barnstable,2500103690,max_area_overlap
25001012900,20,Barnstable,2500103690,max_area_overlap
25001013002,20,Barnstable,2500103690,max_area_overlap
25001013100,20,Barnstable,2500103690,max_area_overlap
25001013200,20,Barnstable,2500103690,max_area_overlap
25001013300,261,Sandwich,2500159735,max_area_overlap
25001013400,261,Sandwich,2500159735,max_area_overlap
25001013500,261,Sandwich,2500159735,max_area_overlap
25001013600,261,Sandwich,2500159735,max_area_overlap
25001013700,36,Bourne,2500107175,max_area_overlap
25001013800,36,Bourne,2500107175,max_area_overlap
25001013900,36,Bourne,2500107175,max_area_overlap
25001014002,36,Bourne,2500107175,max_area_overlap
25001014100,36,Bourne,2500107175,max_area_overlap
25001014300,96,Falmouth,2500123105,max_area_overlap
25001014402,96,Falmouth,2500123105,max_area_overlap
25001014500,96,Falmouth,2500123105,max_area_overlap
25001014600,96,Falmouth,2500123105,max_area_overlap
25001014700,96,Falmouth,2500123105,max_area_overlap
25001014800,96,Falmouth,2500123105,max_area_overlap
