muni_id,muni_name,cosub_5y19,cosub_5y18,cosub_5y17,cosub_5y16,cosub_5y15,cosub_5y14,cosub_5y13,cosub_5y12,cosub_5y11,cosub_5y10,cosub_5y09,cosub_cn00,cosub_cn10,cosub_cn20,muni_upper,mapc,reg164,county_id,county,cmtyp08_id,cmtyp08,cmsbt08_id,cmsbt08,rpa_id,rpa_name,rpa_acr,rpa_alt,region_id,region,subrg_id,subrg_nm,subrg_acr,subrg_alt,bg_region,mbta,mbta14,mbta51,mbta_other,rta_acr,rta_name,mbta_cmtyp,mmc,nsc,csa,msa,cosub_5y20,cosub_5y21,cosub_5y22,cosub_5y23
20,Barnstable,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103690,2500103600,2500103690,2500103690,BARNSTABLE,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500103690,2500103690,2500103690,2500103690
36,Bourne,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,2500107175,BOURNE,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,MBTA Adjacent,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500107175,2500107175,2500107175,2500107175
41,Brewster,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,2500107980,BREWSTER,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500107980,2500107980,2500107980,2500107980
55,Chatham,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,2500112995,CHATHAM,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500112995,2500112995,2500112995,2500112995
75,Dennis,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,2500116775,DENNIS,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500116775,2500116775,2500116775,2500116775
86,Eastham,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,2500119295,EASTHAM,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500119295,2500119295,2500119295,2500119295
96,Falmouth,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,2500123105,FALMOUTH,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500123105,2500123105,2500123105,2500123105
126,Harwich,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,2500129020,HARWICH,0,0,363,Barnstable County,377,Developing Suburb,387,Maturing New England Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500129020,2500129020,2500129020,2500129020
172,Mashpee,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,2500139100,MASHPEE,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500139100,2500139100,2500139100,2500139100
224,Orleans,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,2500151440,ORLEANS,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500151440,2500151440,2500151440,2500151440
242,Provincetown,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,2500155500,PROVINCETOWN,0,0,363,Barnstable County,380,Regional Urban Center,383,Sub-Regional Urban Center,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500155500,2500155500,2500155500,2500155500
261,Sandwich,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,2500159735,SANDWICH,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500159735,2500159735,2500159735,2500159735
300,Truro,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,2500170605,TRURO,0,0,363,Barnstable County,381,Rural Town,381,Rural Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500170605,2500170605,2500170605,2500170605
318,Wellfleet,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,2500174385,WELLFLEET,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500174385,2500174385,2500174385,2500174385
351,Yarmouth,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,2500182525,YARMOUTH,0,0,363,Barnstable County,379,Maturing Suburb,386,Established Suburb/Cape Cod Town,391,Cape Cod Planning & Economic Development Commission,CCC,,404,Southeastern Massachusetts,,,,,,0,0,0,0,CCRTA,Cape Cod Regional Transit Authority,,0,0,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Barnstable Town, MA MSA",2500182525,2500182525,2500182525,2500182525
4,Adams,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,ADAMS,0,0,364,Berkshire County,377,Developing Suburb,387,Maturing New England Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500300555,2500300555,2500300555,2500300555
6,Alford,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,ALFORD,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500300975,2500300975,2500300975,2500300975
22,Becket,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,2500304545,BECKET,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500304545,2500304545,2500304545,2500304545
58,Cheshire,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,2500313345,CHESHIRE,0,0,364,Berkshire County,377,Developing Suburb,387,Maturing New England Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500313345,2500313345,2500313345,2500313345
63,Clarksburg,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,2500314010,CLARKSBURG,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500314010,2500314010,2500314010,2500314010
70,Dalton,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,2500316180,DALTON,0,0,364,Berkshire County,377,Developing Suburb,387,Maturing New England Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500316180,2500316180,2500316180,2500316180
90,Egremont,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,2500321360,EGREMONT,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500321360,2500321360,2500321360,2500321360
98,Florida,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,2500324120,FLORIDA,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500324120,2500324120,2500324120,2500324120
113,Great Barrington,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,2500326815,GREAT BARRINGTON,0,0,364,Berkshire County,377,Developing Suburb,387,Maturing New England Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,BRTA,Berkshire Regional Transit Authority,,0,0,,"Pittsfield, MA MSA",2500326815,2500326815,2500326815,2500326815
121,Hancock,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,2500328180,HANCOCK,0,0,364,Berkshire County,381,Rural Town,381,Rural Town,390,Berkshire County Regional Planning Commission,BRPC,,405,Western Massachusetts,,,,,,0,0,0,0,,,,0,0,,"Pittsfield, MA MSA",2500328180,2500328180,2500328180,2500328180
