muni_id,muni_name,cosub_5y19,cosub_5y18,cosub_5y17,cosub_5y16,cosub_5y15,cosub_5y14,cosub_5y13,cosub_5y12,cosub_5y11,cosub_5y10,cosub_5y09,cosub_5y20,cosub_5y21,cosub_5y22,cosub_5y23,cosub_5y24,cosub_cn00,cosub_cn10,cosub_cn20,bg_region,cmsbt08,cmsbt08_id,cmtyp08,cmtyp08_id,county,county_id,csa,mapc,mbta,mbta_cmtyp,mbta_other,mbta14,mbta51,mmc,msa,muni_upper,nsc,reg164,region,region_id,rpa_acr,rpa_id,rpa_name,mpo,mpo_name,mpo_id,rta_acr,rta_name,subrg_acr,subrg_alt,subrg_id,subrg_nm,subrg_full
1,Abington,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,2502300170,South,Maturing New England Town,387,Developing Suburb,377,Plymouth County,374,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",0,1,Commuter Rail,1,0,0,0,"Boston-Cambridge-Newton, MA-NH MSA",ABINGTON,0,1,Southeastern Massachusetts,404,OCPC,399,Old Colony Planning Council,OCPC,Old Colony Planning Council,399,BAT,Brockton Area Transit Authority,,,,,
2,Acton,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,2501700380,West,Established Suburb/Cape Cod Town,386,Maturing Suburb,379,Middlesex County,371,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",1,1,Commuter Rail,1,0,0,0,"Boston-Cambridge-Newton, MA-NH MSA",ACTON,0,1,MAPC,352,MAPC,352,Metropolitan Area Planning Council,MAPC,Metropolitan Area Planning Council,352,LRTA,Lowell Regional Transit Authority,MAGIC,,356,MAGIC Subregion,Minuteman Advisory Group on Interlocal Coordination Subregion (MAGIC)
3,Acushnet,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,2500500520,,Maturing New England Town,387,Developing Suburb,377,Bristol County,365,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",0,0,,0,0,0,0,"Providence-Warwick, RI-MA MSA",ACUSHNET,0,0,Southeastern Massachusetts,404,SRPEDD,401,Southeastern Regional Planning & Economic Development District,SRPEDD,Southeastern Regional Planning & Economic Development District,401,SRTA,Southeastern Regional Transit Authority,,,,,
4,Adams,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,2500300555,,Maturing New England Town,387,Developing Suburb,377,Berkshire County,364,,0,0,,0,0,0,0,"Pittsfield, MA MSA",ADAMS,0,0,Western Massachusetts,405,BRPC,390,Berkshire County Regional Planning Commission,BRPC,Berkshire County Regional Planning Commission,390,BRTA,Berkshire Regional Transit Authority,,,,,
5,Agawam,2501300840,2501300840,2501300840,2501300840,2501300840,2501300840,2501300840,2501300840,2501300840,2501300840,2501300765,2501300840,2501300840,2501300840,2501300840,2501300840,2501300765,2501300840,2501300840,,Maturing New England Town,387,Developing Suburb,377,Hampden County,369,,0,0,,0,0,0,0,,AGAWAM,0,0,Western Massachusetts,405,PVPC,400,Pioneer Valley Planning Commission,PVPC,Pioneer Valley Planning Commission,400,PVTA,Pioneer Valley Transit Authority,,,,,
6,Alford,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,2500300975,,Rural Town,381,Rural Town,381,Berkshire County,364,,0,0,,0,0,0,0,"Pittsfield, MA MSA",ALFORD,0,0,Western Massachusetts,405,BRPC,390,Berkshire County Regional Planning Commission,BRPC,Berkshire County Regional Planning Commission,390,BRTA,Berkshire Regional Transit Authority,,,,,
7,Amesbury,2500901260,2500901260,2500901260,2500901260,2500901260,2500901260,2500901260,2500901260,2500901260,2500901260,2500901185,2500901260,2500901260,2500901260,2500901260,2500901185,2500901185,2500901260,2500901260,North,Sub-Regional Urban Center,383,Regional Urban Center,380,Essex County,367,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",0,1,MBTA Adjacent,1,0,0,0,"Boston-Cambridge-Newton, MA-NH MSA",AMESBURY,0,1,Northeastern Massachusetts,403,MVPC,395,Merrimack Valley Planning Commission,MVPC,Merrimack Valley Planning Commission,395,MVRTA,Merrimack Valley Regional Transit Authority,,,,,
8,Amherst,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501325,2501501370,2501501370,2501501370,2501501370,2501501370,2501501325,2501501325,2501501370,,Sub-Regional Urban Center,383,Regional Urban Center,380,Hampshire County,370,,0,0,,0,0,0,0,"Springfield, MA MSA",AMHERST,0,0,Western Massachusetts,405,PVPC,400,Pioneer Valley Planning Commission,PVPC,Pioneer Valley Planning Commission,400,PVTA,Pioneer Valley Transit Authority,,,,,
9,Andover,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,2500901465,North,Maturing New England Town,387,Developing Suburb,377,Essex County,367,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",0,1,Commuter Rail,1,0,0,0,"Boston-Cambridge-Newton, MA-NH MSA",ANDOVER,0,1,Northeastern Massachusetts,403,MVPC,395,Merrimack Valley Planning Commission,MVPC,Merrimack Valley Planning Commission,395,MVRTA,Merrimack Valley Regional Transit Authority,,,,,
10,Arlington,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,2501701605,North,Streetcar Suburb,384,Inner Core,378,Middlesex County,371,"Boston-Worcester-Providence, MA-RI-NH-CT CSA",1,1,Subway Or Light Rail,0,1,0,1,"Boston-Cambridge-Newton, MA-NH MSA",ARLINGTON,0,1,MAPC,352,MAPC,352,Metropolitan Area Planning Council,MAPC,Metropolitan Area Planning Council,352,,,ICC,,355,Inner Core (ICC) Subregion,Inner Core Committee Subregion (ICC)
