neighborhood,muni,ma_muni,state
Abington,Abington,TRUE,MA
Acton,Acton,TRUE,MA
Acushnet,Acushnet,TRUE,MA
Adams,Adams,TRUE,MA
Agawam,Agawam,TRUE,MA
Allston,Boston,FALSE,MA
Amesbury,Amesbury,TRUE,MA
Amherst,Amherst,TRUE,MA
Andover,Andover,TRUE,MA
Arlington,Arlington,TRUE,MA
Ashburnham,Ashburnham,TRUE,MA
Ashby,Ashby,TRUE,MA
Ashfield,Ashfield,TRUE,MA
Ashland,Ashland,TRUE,MA
Athol,Athol,TRUE,MA
Attleboro,Attleboro,TRUE,MA
Attleborough,Attleboro,TRUE,MA
Auburn,Auburn,TRUE,MA
Auburndale,Newton,FALSE,MA
Avon,Avon,TRUE,MA
Ayer,Ayer,TRUE,MA
Baldwinville,Templeton,FALSE,MA
Barnstable,Barnstable,TRUE,MA
Becket,Becket,TRUE,MA
Bedford,Bedford,TRUE,MA
Belchertown,Belchertown,TRUE,MA
Bellingham,Bellingham,TRUE,MA
Belmont,Belmont,TRUE,MA
Berkley,Berkley,TRUE,MA
Bernardston,Bernardston,TRUE,MA
Beverly,Beverly,TRUE,MA
Billerica,Billerica,TRUE,MA
Blackstone,Blackstone,TRUE,MA
Blandford,Blandford,TRUE,MA
Bolton,Bolton,TRUE,MA
Boston,Boston,TRUE,MA
Boxboro,Boxborough,TRUE,MA
Boxborough,Boxborough,TRUE,MA
Boxford,Boxford,TRUE,MA
Boylston,Boylston,TRUE,MA
Braintree,Braintree,TRUE,MA
Brewster,Brewster,TRUE,MA
Bridgewater,Bridgewater,TRUE,MA
Brighton,Boston,FALSE,MA
Brimfield,Brimfield,TRUE,MA
Brockton,Brockton,TRUE,MA
Brookfield,Brookfield,TRUE,MA
Brookline,Brookline,TRUE,MA
Burlington,Burlington,TRUE,MA
Buzzards Bay,Bourne,FALSE,MA
Byfield,Newbury,FALSE,MA
Cambridge,Cambridge,TRUE,MA
Canton,Canton,TRUE,MA
Carlisle,Carlisle,TRUE,MA
Carver,Carver,TRUE,MA
Centerville,Barnstable,FALSE,MA
Charlemont,Charlemont,TRUE,MA
Charlestown,Boston,FALSE,MA
Charlton,Charlton,TRUE,MA
Chatham,Chatham,TRUE,MA
Chelmsford,Chelmsford,TRUE,MA
Chelsea,Chelsea,TRUE,MA
Cherry Valley,Cherry Valley,FALSE,NY
