"","neighborhood","muni","state","ma_muni","duplicate"
"1","Abington","Abington","MA",TRUE,FALSE
"2","Acton","Acton","MA",TRUE,FALSE
"3","Acushnet","Acushnet","MA",TRUE,FALSE
"4","Adams","Adams","MA",TRUE,FALSE
"5","Agawam","Agawam","MA",TRUE,TRUE
"6","Allston","Boston","MA",TRUE,FALSE
"7","Amesbury","Amesbury","MA",TRUE,FALSE
"8","Amherst","Amherst","MA",TRUE,TRUE
"9","Andover","Andover","MA",TRUE,FALSE
"10","Arlington","Arlington","MA",TRUE,FALSE
"11","Ashburnham","Ashburnham","MA",TRUE,FALSE
"12","Ashby","Ashby","MA",TRUE,FALSE
"13","Ashfield","Ashfield","MA",TRUE,FALSE
"14","Ashland","Ashland","MA",TRUE,FALSE
"15","Athol","Athol","MA",TRUE,FALSE
"16","Attleboro","Attleboro","MA",TRUE,FALSE
"17","Attleborough","Attleboro","MA",TRUE,FALSE
"18","Auburn","Auburn","MA",TRUE,FALSE
"19","Auburndale","Newton","MA",TRUE,FALSE
"20","Avon","Avon","MA",TRUE,FALSE
"21","Ayer","Ayer","MA",TRUE,TRUE
"22","Baldwinville","Templeton","MA",TRUE,FALSE
"23","Barnstable","Barnstable","MA",TRUE,FALSE
"24","Becket","Becket","MA",TRUE,TRUE
"25","Bedford","Bedford","MA",TRUE,FALSE
"26","Belchertown","Belchertown","MA",TRUE,FALSE
"27","Bellingham","Bellingham","MA",TRUE,TRUE
"28","Belmont","Belmont","MA",TRUE,TRUE
"29","Berkley","Berkley","MA",TRUE,FALSE
"30","Bernardston","Bernardston","MA",TRUE,FALSE
"31","Beverly","Beverly","MA",TRUE,FALSE
"32","Billerica","Billerica","MA",TRUE,FALSE
"33","Blackstone","Blackstone","MA",TRUE,FALSE
"34","Blandford","Blandford","MA",TRUE,TRUE
"35","Bolton","Bolton","MA",TRUE,FALSE
"36","Boston","Boston","MA",TRUE,FALSE
"37","Boxboro","Boxborough","MA",TRUE,FALSE
"38","Boxborough","Boxborough","MA",TRUE,FALSE
"39","Boxford","Boxford","MA",TRUE,FALSE
"40","Boylston","Boylston","MA",TRUE,TRUE
"41","Braintree","Braintree","MA",TRUE,FALSE
"42","Brewster","Brewster","MA",TRUE,FALSE
"43","Bridgewater","Bridgewater","MA",TRUE,FALSE
"44","Brighton","Boston","MA",TRUE,TRUE
"45","Brimfield","Brimfield","MA",TRUE,TRUE
"46","Brockton","Brockton","MA",TRUE,FALSE
"47","Brookfield","Brookfield","MA",TRUE,FALSE
"48","Brookline","Brookline","MA",TRUE,FALSE
"49","Burlington","Burlington","MA",TRUE,FALSE
"50","Buzzards Bay","Bourne","MA",TRUE,TRUE
"51","Byfield","Newbury","MA",TRUE,FALSE
"52","Cambridge","Cambridge","MA",TRUE,FALSE
"53","Canton","Canton","MA",TRUE,FALSE
"54","Carlisle","Carlisle","MA",TRUE,FALSE
"55","Carver","Carver","MA",TRUE,FALSE
"56","Centerville","Barnstable","MA",TRUE,TRUE
"57","Charlemont","Charlemont","MA",TRUE,FALSE
"58","Charlestown","Boston","MA",TRUE,FALSE
"59","Charlton","Charlton","MA",TRUE,FALSE
"60","Chatham","Chatham","MA",TRUE,FALSE
"61","Chelmsford","Chelmsford","MA",TRUE,FALSE
"62","Chelsea","Chelsea","MA",TRUE,FALSE
"63","Cherry Valley","Cherry Valley","NY",FALSE,TRUE
"64","Cheshire","Cheshire","MA",TRUE,FALSE
"65","Chesterfield","Chesterfield","MA",TRUE,FALSE
"66","Chestnut Hill","Newton","MA",TRUE,TRUE
"67","Chicopee","Chicopee","MA",TRUE,FALSE
"68","Clinton","Clinton","MA",TRUE,FALSE
"69","Cohasset","Cohasset","MA",TRUE,FALSE
"70","Concord","Concord","MA",TRUE,FALSE
"71","Cummington","Cummington","MA",TRUE,TRUE
"72","Danvers","Danvers","MA",TRUE,FALSE
"73","Dedham","Dedham","MA",TRUE,FALSE
"74","Deerfield","Deerfield","MA",TRUE,FALSE
"75","Dennis","Dennis","MA",TRUE,FALSE
"76","Dennis Port","Dennis","MA",TRUE,FALSE
"77","Devens","Devens","MA",TRUE,TRUE
"78","Dorchester","Boston","MA",TRUE,FALSE
"79","Douglas","Douglas","MA",TRUE,FALSE
"80","Dover","Dover","MA",TRUE,FALSE
"81","Dracut","Dracut","MA",TRUE,FALSE
"82","Dudley","Dudley","MA",TRUE,FALSE
"83","Dunstable","Dunstable","MA",TRUE,FALSE
"84","Durham","Durham","NH",FALSE,FALSE
"85","Duxbury","Duxbury","MA",TRUE,FALSE
"86","East Bridgewater","East Bridgewater","MA",TRUE,FALSE
"87","East Falmouth","Falmouth","MA",TRUE,FALSE
"88","East Freetown","Freetown","MA",TRUE,FALSE
"89","East Longmeadow","East Longmeadow","MA",TRUE,FALSE
"90","East Otis","Otis","MA",TRUE,FALSE
"91","East Sandwich","Sandwich","MA",TRUE,FALSE
"92","East Taunton","Taunton","MA",TRUE,TRUE
"93","East Walpole","Walpole","MA",TRUE,FALSE
"94","East Wareham","Wareham","MA",TRUE,FALSE
"95","East Weymouth","Weymouth","MA",TRUE,FALSE
"96","Eastham","Eastham","MA",TRUE,FALSE
"97","Easthampton","Easthampton","MA",TRUE,FALSE
"98","Edgartown","Edgartown","MA",TRUE,FALSE
"99","Erving","Erving","MA",TRUE,FALSE
"100","Essex","Essex","MA",TRUE,TRUE
"101","Everett","Everett","MA",TRUE,FALSE
"102","Exeter","Exeter","NH",FALSE,FALSE
"103","Fairhaven","Fairhaven","MA",TRUE,FALSE
"104","Fall River","Fall River","MA",TRUE,FALSE
"105","Falmouth","Falmouth","MA",TRUE,FALSE
"106","Feeding Hills","Agawam","MA",TRUE,FALSE
"107","Fisherville","Grafton","MA",TRUE,TRUE
"108","Fiskdale","Sturbridge","MA",TRUE,TRUE
