PUMACE10,muni_id,muni_name,cosub_cn20,pct_muni_area_in_puma,pct_puma_area_in_muni,overlap_m2,muni_area_m2,puma10_area_m2,join_type
04901,1,Abington,2502300170,100,8.6289976428,26388934.34,26388934.34,305816914.4,st_intersection
01400,2,Acton,2501700380,100,11.9656463052,52566026.92,52566026.92,439307878.4,st_intersection
04500,3,Acushnet,2500500520,0.000611263,0.0000863877,299.9981661,49078420.83,347269418.3,st_intersection
04301,3,Acushnet,2500500520,99.99938874,6.0964419680,49078120.83,49078420.83,805028918.3,st_intersection
00100,4,Adams,2500300555,100,2.4259246077,59463643.11,59463643.11,2451174407,st_intersection
01902,5,Agawam,2501300840,0.04484946,0.0093441753,28265.31179,63022635.77,302491239.8,st_intersection
01901,5,Agawam,2501300840,99.9486904,16.9293612402,62990299.11,63022635.77,372077234.4,st_intersection
01900,5,Agawam,2501300840,0.006460142,0.0047520343,4071.351595,63022635.77,85675971.84,st_intersection
00100,6,Alford,2500300975,100,1.2200396241,29905299.02,29905299.02,2451174407,st_intersection
00702,7,Amesbury,2500901260,100,8.4578262808,35567524.11,35567524.11,420527957.5,st_intersection
00200,8,Amherst,2501501370,99.99986826,2.8586183277,71883412.43,71883507.13,2514620848,st_intersection
01300,9,Andover,2500901465,99.93813127,33.2143929046,83225051.26,83276573.42,250569238.2,st_intersection
00501,9,Andover,2500901465,0.061866412,0.0148544360,51520.22772,83276573.42,346833953.4,st_intersection
00508,10,Arlington,2501701605,0.044264156,0.0176641244,6288.209425,14206098,35598761.01,st_intersection
00505,10,Arlington,2501701605,99.95573315,26.5116404988,14199809.41,14206098,53560659.16,st_intersection
00400,11,Ashburnham,2502701885,100,7.2219500135,106052511.9,106052511.9,1468474744,st_intersection
00400,12,Ashby,2501701955,100,4.2417986377,62289741.67,62289741.67,1468474744,st_intersection
00200,13,Ashfield,2501102095,100,4.1449527939,104229847.1,104229847.1,2514620848,st_intersection
02400,14,Ashland,2501702130,100,9.9867491314,33341745.18,33341745.18,333859845.1,st_intersection
00200,15,Athol,2502702480,0.032483993,0.0011162475,28069.39315,86409922.02,2514620848,st_intersection
00400,15,Athol,2502702480,99.96751601,5.8824200417,86381852.63,86409922.02,1468474744,st_intersection
04200,16,Attleboro,2500502690,100,18.5088593241,71926594.02,71926594.02,388606303.4,st_intersection
00302,17,Auburn,2502702760,100,3.9201071599,42510768.25,42510768.25,1084428729,st_intersection
03602,18,Avon,2502102935,0.002454028,0.0001901696,288.4443904,11753913.84,151677428,st_intersection
04000,18,Avon,2502102935,99.99754597,10.6749151159,11753625.39,11753913.84,110105094.7,st_intersection
01400,19,Ayer,2501703005,0.000796131,0.0000446055,195.9556943,24613491.39,439307878.4,st_intersection
00400,19,Ayer,2501703005,99.99920387,1.6761129560,24613295.43,24613491.39,1468474744,st_intersection
04700,20,Barnstable,2500103690,91.89835018,29.2155402699,182006360.2,198051825.5,622977903.2,st_intersection
04800,20,Barnstable,2500103690,8.101649823,0.3331226106,16045465.37,198051825.5,4816684567,st_intersection
00302,21,Barre,2502703740,100,10.6573152120,115570987.9,115570987.9,1084428729,st_intersection
00100,22,Becket,2500304545,100,5.0497622853,123778480.7,123778480.7,2451174407,st_intersection
00503,23,Bedford,2501704615,100,19.4670408856,35841873.79,35841873.79,184115675.3,st_intersection
01600,24,Belchertown,2501504825,99.99497828,8.6445271242,143157345.8,143164535.1,1656046001,st_intersection
00200,24,Belchertown,2501504825,0.005021724,0.0002859011,7189.327971,143164535.1,2514620848,st_intersection
03601,25,Bellingham,2502104930,99.99743353,12.5750968797,48926368.49,48927624.2,389073491.5,st_intersection
00304,25,Bellingham,2502104930,0.002415692,0.0001393700,1181.940589,48927624.2,848059720,st_intersection
00506,26,Belmont,2501705070,0.001258841,0.0008386572,153.8409662,12220838.89,18343725.24,st_intersection
00503,26,Belmont,2501705070,0.001451385,0.0000963369,177.3713739,12220838.89,184115675.3,st_intersection
00505,26,Belmont,2501705070,99.99728977,22.8162010468,12220507.68,12220838.89,53560659.16,st_intersection
04303,27,Berkley,2500505280,99.99826794,10.9612527603,45125785.56,45126567.18,411684563.3,st_intersection
04902,27,Berkley,2500505280,0.001559262,0.0001058398,703.6415003,45126567.18,664817298.6,st_intersection
00303,28,Berlin,2502705490,100,8.9462704183,34118254.46,34118254.46,381368468.3,st_intersection
00200,29,Bernardston,2501105560,100,2.4116109567,60642871.89,60642871.89,2514620848,st_intersection
00702,30,Beverly,2500905595,0.002539701,0.0003532930,1485.695914,58498853.77,420527957.5,st_intersection
00703,30,Beverly,2500905595,99.99714373,4.5469868223,58497182.88,58498853.77,1286504342,st_intersection
01300,31,Billerica,2501705805,99.99941645,27.2022303700,68160421.4,68160819.15,250569238.2,st_intersection
00503,31,Billerica,2501705805,0.000583547,0.0002160330,397.7506718,68160819.15,184115675.3,st_intersection
00304,32,Blackstone,2502706015,99.99992144,3.4905615549,29602046.55,29602069.81,848059720,st_intersection
01600,33,Blandford,2501306085,100,8.3579300535,138411166.5,138411166.5,1656046001,st_intersection
01400,34,Bolton,2502706365,99.99949418,11.8374285768,52002756.33,52003019.38,439307878.4,st_intersection
00303,34,Bolton,2502706365,0.000505825,0.0000689738,263.0441815,52003019.38,381368468.3,st_intersection
03306,35,Boston,2502507000,3.739864111,21.7372014749,8679632.407,232084165.3,39929852.13,st_intersection
03302,35,Boston,2502507000,12.52428188,93.5511315458,29066875.07,232084165.3,31070575.62,st_intersection
03603,35,Boston,2502507000,0.003871416,0.0086271718,8984.944627,232084165.3,104147046.4,st_intersection
00507,35,Boston,2502507000,0.003063961,0.0348183830,7110.96795,232084165.3,20423027.54,st_intersection
00506,35,Boston,2502507000,0.011296258,0.1429198622,26216.82685,232084165.3,18343725.24,st_intersection
03304,35,Boston,2502507000,7.511974837,99.9766870826,17434104.1,232084165.3,17438169.45,st_intersection
03301,35,Boston,2502507000,6.782951416,99.5255666416,15742156.18,232084165.3,15817198.24,st_intersection
03305,35,Boston,2502507000,19.70748189,99.8933369419,45737944.86,232084165.3,45786782.44,st_intersection
03602,35,Boston,2502507000,0.000676987,0.0010358684,1571.178533,232084165.3,151677428,st_intersection
03500,35,Boston,2502507000,0.000987166,0.0008919340,2291.055555,232084165.3,256863801.4,st_intersection
00505,35,Boston,2502507000,0.004077444,0.0176680080,9463.101535,232084165.3,53560659.16,st_intersection
03400,35,Boston,2502507000,0.003244817,0.0116428251,7530.706428,232084165.3,64681092.37,st_intersection
03303,35,Boston,2502507000,49.70622781,71.5062776703,115360283.9,232084165.3,161328889.8,st_intersection
04700,36,Bourne,2500107175,88.26573787,19.3992492960,120853036.5,136919533.4,622977903.2,st_intersection
04903,36,Bourne,2500107175,0.000589172,0.0000576396,806.6922011,136919533.4,1399544549,st_intersection
04800,36,Bourne,2500107175,11.73367295,0.3335425029,16065690.26,136919533.4,4816684567,st_intersection
01400,37,Boxborough,2501707350,100,6.1354142265,26953358.07,26953358.07,439307878.4,st_intersection
00702,38,Boxford,2500907420,100,15.0332288743,63218930.34,63218930.34,420527957.5,st_intersection
00303,39,Boylston,2502707525,100,13.4099072186,51141157.76,51141157.76,381368468.3,st_intersection
03900,40,Braintree,2502107740,99.98954522,12.0590343659,37716236.11,37720179.68,312763318.9,st_intersection
03602,40,Braintree,2502107740,0.010343216,0.0025722216,3901.479575,37720179.68,151677428,st_intersection
04800,41,Brewster,2500107980,100,1.3715241375,66061991.46,66061991.46,4816684567,st_intersection
04303,42,Bridgewater,2502308130,0.005286781,0.0009434538,3884.05383,73467266.79,411684563.3,st_intersection
04901,42,Bridgewater,2502308130,99.99438377,24.0219350977,73463140.7,73467266.79,305816914.4,st_intersection
01600,43,Brimfield,2501308470,99.99906607,5.5234592328,91471025.77,91471880.05,1656046001,st_intersection
00304,43,Brimfield,2501308470,0.000933925,0.0001007334,854.2791133,91471880.05,848059720,st_intersection
04000,44,Brockton,2502309000,99.99989709,50.6088724848,55722946.95,55723004.3,110105094.7,st_intersection
00302,45,Brookfield,2502709105,100,3.9604597160,42948362.96,42948362.96,1084428729,st_intersection
03301,46,Brookline,2502109175,0.035342458,0.0395269360,6252.053819,17689923.67,15817198.24,st_intersection
03305,46,Brookline,2502109175,0.182965064,0.0706893529,32366.38021,17689923.67,45786782.44,st_intersection
03400,46,Brookline,2502109175,99.78169248,27.2897450951,17651305.23,17689923.67,64681092.37,st_intersection
00200,47,Buckland,2501109595,100,2.0473065058,51481996.22,51481996.22,2514620848,st_intersection
00503,48,Burlington,2501709840,99.99980674,16.6879317345,30725098.21,30725157.59,184115675.3,st_intersection
00506,49,Cambridge,2501711000,99.61134266,99.8549656606,18317120.54,18388589.14,18343725.24,st_intersection
03301,49,Cambridge,2501711000,0.372672782,0.4332579370,68529.2668,18388589.14,15817198.24,st_intersection
00505,49,Cambridge,2501711000,0.015552044,0.0053393693,2859.801387,18388589.14,53560659.16,st_intersection
03602,50,Canton,2502111315,99.99999983,33.3645395163,50606475.39,50606475.48,151677428,st_intersection
01400,51,Carlisle,2501711525,99.99536041,9.1515903291,40203657.31,40205522.68,439307878.4,st_intersection
00503,51,Carlisle,2501711525,0.00463959,0.0010131518,1865.371257,40205522.68,184115675.3,st_intersection
04902,52,Carver,2502311665,99.99993174,15.4750524170,102880825.4,102880895.7,664817298.6,st_intersection
00200,53,Charlemont,2501112505,99.99968661,2.7445747063,69015647.75,69015864.04,2514620848,st_intersection
00304,54,Charlton,2502712715,100,13.3734963597,113415235.8,113415235.8,848059720,st_intersection
04800,55,Chatham,2500112995,100,1.7753545027,85513226.34,85513226.34,4816684567,st_intersection
00501,56,Chelmsford,2501713135,100,17.2374211023,59785229.08,59785229.08,346833953.4,st_intersection
03306,57,Chelsea,2502513205,99.99671549,15.9891196866,6384431.848,6384641.552,39929852.13,st_intersection
00507,57,Chelsea,2502513205,0.003284507,0.0010268017,209.7039941,6384641.552,20423027.54,st_intersection
00100,58,Cheshire,2500313345,100,2.9077632092,71274347.59,71274347.59,2451174407,st_intersection
01600,59,Chester,2501313485,100,5.8121708079,96252222.26,96252222.26,1656046001,st_intersection
01600,60,Chesterfield,2501513590,0.00095811,0.0000468182,775.3301259,80922903.75,1656046001,st_intersection
00200,60,Chesterfield,2501513590,99.99904189,3.2180648022,80922128.42,80922903.75,2514620848,st_intersection
01902,61,Chicopee,2501313660,99.99605495,20.4379970290,61823150.6,61825589.65,302491239.8,st_intersection
01901,61,Chicopee,2501313660,0.003945052,0.0006555230,2439.051863,61825589.65,372077234.4,st_intersection
04800,62,Chilmark,2500713800,100,5.4010797394,260152974.3,260152974.3,4816684567,st_intersection
00100,63,Clarksburg,2500314010,100,1.3518605878,33136460.74,33136460.74,2451174407,st_intersection
00303,64,Clinton,2502714395,100,4.9338482683,18816141.57,18816141.57,381368468.3,st_intersection
03900,65,Cohasset,2502114640,99.99540893,26.0240278346,81393613.18,81397350.18,312763318.9,st_intersection
04903,65,Cohasset,2502114640,0.004591068,0.0002670160,3737.007839,81397350.18,1399544549,st_intersection
00200,66,Colrain,2501114885,99.99999898,4.4640268796,112253350.6,112253351.7,2514620848,st_intersection
01400,67,Concord,2501715060,99.99118493,15.2278673985,66897221.19,66903118.75,439307878.4,st_intersection
00503,67,Concord,2501715060,0.008815074,0.0032031817,5897.559702,66903118.75,184115675.3,st_intersection
00200,68,Conway,2501115200,100,3.9012589480,98101870.84,98101870.84,2514620848,st_intersection
00200,69,Cummington,2501516040,100,2.3756163253,59737743.38,59737743.38,2514620848,st_intersection
00100,70,Dalton,2500316180,100,2.3106628022,56638375.23,56638375.23,2451174407,st_intersection
01000,71,Danvers,2500916250,99.99915428,21.8414771704,36736052.28,36736362.97,168193991.6,st_intersection
00702,71,Danvers,2500916250,0.000845724,0.0000738805,310.6881351,36736362.97,420527957.5,st_intersection
04500,72,Dartmouth,2500516425,33.32022756,24.2405571764,84180041.91,252639456.7,347269418.3,st_intersection
04301,72,Dartmouth,2500516425,66.67977244,20.9258836573,168459414.8,252639456.7,805028918.3,st_intersection
03305,73,Dedham,2502116495,0.032202314,0.0194612997,8910.702971,27671002.39,45786782.44,st_intersection
