PUMACE20,muni_id,muni_name,cosub_cn20,pct_muni_area_in_pumaoverlap,pct_puma_area_in_muni,overlap_m2,muni_area_m2,puma20_area_m2,join_type
01102,1,Abington,2502300170,100,0.062486940,26388934.34,26388934.34,422311195.4,st_intersection
00604,2,Acton,2501700380,100,0.135779677,52566026.92,52566026.92,387142081.2,st_intersection
01004,3,Acushnet,2500500520,0.000360318,0.000000266,176.8386187,49078420.83,665452414.9,st_intersection
01003,3,Acushnet,2500500520,99.99963968,0.176321237,49078243.99,49078420.83,278345620,st_intersection
00100,4,Adams,2500300555,100,0.024259203,59463643.11,59463643.11,2451178767,st_intersection
00401,5,Agawam,2501300840,99.99948837,0.070915616,63022313.33,63022635.77,888694430.1,st_intersection
00402,5,Agawam,2501300840,0.000511084,0.000003760,322.0987201,63022635.77,85671045.76,st_intersection
00100,6,Alford,2500300975,100,0.012200375,29905299.02,29905299.02,2451178767,st_intersection
00703,7,Amesbury,2500901260,100,0.073369510,35567524.11,35567524.11,484772548.2,st_intersection
00301,8,Amherst,2501501370,100,0.187249046,71883507.13,71883507.13,383892514.8,st_intersection
00702,9,Andover,2500901465,99.99999768,0.812305481,83276571.48,83276573.42,102518785.6,st_intersection
00612,10,Arlington,2501701605,99.98579132,0.382720659,14204079.5,14206098,37113438.15,st_intersection
00607,10,Arlington,2501701605,0.014205838,0.000007939,2018.09521,14206098,254191294.7,st_intersection
00501,11,Ashburnham,2502701885,100,0.071891822,106052511.9,106052511.9,1475167960,st_intersection
00601,12,Ashby,2501701955,100,0.105177345,62289741.67,62289741.67,592235350.3,st_intersection
00201,13,Ashfield,2501102095,100,0.035883524,104229847.1,104229847.1,2904671472,st_intersection
00606,14,Ashland,2501702130,100,0.119406418,33341745.18,33341745.18,279229086.7,st_intersection
00501,15,Athol,2502702480,100,0.058576328,86409922.02,86409922.02,1475167960,st_intersection
01001,16,Attleboro,2500502690,100,0.200455664,71926594.02,71926594.02,358815474.1,st_intersection
00506,17,Auburn,2502702760,100,0.052556099,42510768.25,42510768.25,808864600.8,st_intersection
00905,18,Avon,2502102935,100,0.054783746,11753913.84,11753913.84,214551115.7,st_intersection
00601,19,Ayer,2501703005,99.99920387,0.041559990,24613295.43,24613491.39,592235350.3,st_intersection
00604,19,Ayer,2501703005,0.000796131,0.000000506,195.9556943,24613491.39,387142081.2,st_intersection
01201,20,Barnstable,2500103690,91.89839021,0.293663526,182006439.5,198051825.5,619778840,st_intersection
01301,20,Barnstable,2500103690,8.101609791,0.003329000,16045386.09,198051825.5,4819882152,st_intersection
00501,21,Barre,2502703740,100,0.078344291,115570987.9,115570987.9,1475167960,st_intersection
00100,22,Becket,2500304545,100,0.050497533,123778480.7,123778480.7,2451178767,st_intersection
00607,23,Bedford,2501704615,99.99999913,0.141003544,35841873.48,35841873.79,254191294.7,st_intersection
00201,24,Belchertown,2501504825,100,0.049287686,143164535.1,143164535.1,2904671472,st_intersection
00507,25,Bellingham,2502104930,0.002165519,0.000001249,1059.53714,48927624.2,848062208.1,st_intersection
00906,25,Bellingham,2502104930,99.99783448,0.137540733,48926564.66,48927624.2,355724181.4,st_intersection
00613,26,Belmont,2501705070,0.001451385,0.000002146,177.3713739,12220838.89,82667249.31,st_intersection
00612,26,Belmont,2501705070,99.9977046,0.329275836,12220558.37,12220838.89,37113438.15,st_intersection
00611,26,Belmont,2501705070,0.000844014,0.000005609,103.1456471,12220838.89,18388694.78,st_intersection
01002,27,Berkley,2500505280,99.99844074,0.092586749,45125863.53,45126567.18,487390086.5,st_intersection
01104,27,Berkley,2500505280,0.001559262,0.000000655,703.6415003,45126567.18,1073963379,st_intersection
00503,28,Berlin,2502705490,99.99186672,0.077227526,34115479.53,34118254.46,441752845.2,st_intersection
00604,28,Berlin,2502705490,0.00813328,0.000007168,2774.933202,34118254.46,387142081.2,st_intersection
00201,29,Bernardston,2501105560,100,0.020877704,60642871.89,60642871.89,2904671472,st_intersection
00704,30,Beverly,2500905595,0.001413542,0.000002019,826.9056838,58498853.77,409501250.6,st_intersection
00706,30,Beverly,2500905595,99.99858646,0.060946430,58498026.86,58498853.77,959826959.7,st_intersection
00603,31,Billerica,2501705805,100,0.382060137,68160819.15,68160819.15,178403378.4,st_intersection
00507,32,Blackstone,2502706015,100,0.034905541,29602069.81,29602069.81,848062208.1,st_intersection
00401,33,Blandford,2501306085,100,0.155746634,138411166.5,138411166.5,888694430.1,st_intersection
00502,34,Bolton,2502706365,100,0.124900207,52003019.38,52003019.38,416356549.9,st_intersection
00610,35,Boston,2502507000,0.000365827,0.000041584,849.0266272,232084165.3,20417098.03,st_intersection
00805,35,Boston,2502507000,19.63052705,1.000000000,45559344.84,232084165.3,45559344.84,st_intersection
00801,35,Boston,2502507000,6.797523179,0.999908388,15775974.93,232084165.3,15777420.34,st_intersection
00804,35,Boston,2502507000,7.597594233,1.000000000,17632813.16,232084165.3,17632813.16,st_intersection
00803,35,Boston,2502507000,49.720905,0.717533939,115394347.4,232084165.3,160820751.5,st_intersection
00802,35,Boston,2502507000,12.5202479,0.935020681,29057512.83,232084165.3,31076866.45,st_intersection
00806,35,Boston,2502507000,3.732316427,0.213945226,8662115.427,232084165.3,40487537.88,st_intersection
00902,35,Boston,2502507000,0.000346554,0.000010074,804.2978165,232084165.3,79838773.83,st_intersection
01201,36,Bourne,2500107175,88.26632705,0.194995110,120853843.2,136919533.4,619778840,st_intersection
01301,36,Bourne,2500107175,11.73367295,0.003333212,16065690.26,136919533.4,4819882152,st_intersection
00604,37,Boxborough,2501707350,100,0.069621360,26953358.07,26953358.07,387142081.2,st_intersection
00703,38,Boxford,2500907420,99.99962255,0.130408976,63218691.72,63218930.34,484772548.2,st_intersection
00704,38,Boxford,2500907420,0.000377445,0.000000583,238.6169372,63218930.34,409501250.6,st_intersection
00503,39,Boylston,2502707525,100,0.115768712,51141157.76,51141157.76,441752845.2,st_intersection
00904,40,Braintree,2502107740,100,0.186769670,37720179.68,37720179.68,201960948.4,st_intersection
01301,41,Brewster,2500107980,100,0.013706142,66061991.46,66061991.46,4819882152,st_intersection
01104,42,Bridgewater,2502308130,0.000329445,0.000000225,242.0339896,73467266.79,1073963379,st_intersection
01102,42,Bridgewater,2502308130,99.99967056,0.173964189,73467024.75,73467266.79,422311195.4,st_intersection
00403,43,Brimfield,2501308470,100,0.136939172,91471880.05,91471880.05,667974534.9,st_intersection
01101,44,Brockton,2502309000,99.99999977,0.999975318,55723004.17,55723004.3,55724379.53,st_intersection
00506,45,Brookfield,2502709105,100,0.053097098,42948362.96,42948362.96,808864600.8,st_intersection
00902,46,Brookline,2502109175,100,0.221570583,17689923.67,17689923.67,79838773.83,st_intersection
00201,47,Buckland,2501109595,100,0.017723862,51481996.22,51481996.22,2904671472,st_intersection
00607,48,Burlington,2501709840,100,0.120874154,30725157.59,30725157.59,254191294.7,st_intersection
00801,49,Cambridge,2501711000,0.006442357,0.000075086,1184.658554,18388589.14,15777420.34,st_intersection
00612,49,Cambridge,2501711000,0.002899736,0.000014367,533.2206234,18388589.14,37113438.15,st_intersection
00611,49,Cambridge,2501711000,99.99065437,0.999900800,18386870.61,18388589.14,18388694.78,st_intersection
00905,50,Canton,2502111315,99.99999484,0.235871404,50606472.87,50606475.48,214551115.7,st_intersection
00604,51,Carlisle,2501711525,100,0.103852112,40205522.68,40205522.68,387142081.2,st_intersection
01104,52,Carver,2502311665,100,0.095795534,102880895.7,102880895.7,1073963379,st_intersection
00100,53,Charlemont,2501112505,0.000313392,0.000000088,216.2899425,69015864.04,2451178767,st_intersection
00201,53,Charlemont,2501112505,99.99968661,0.023760225,69015647.75,69015864.04,2904671472,st_intersection
00507,54,Charlton,2502712715,100,0.133734571,113415235.8,113415235.8,848062208.1,st_intersection
01301,55,Chatham,2500112995,100,0.017741767,85513226.34,85513226.34,4819882152,st_intersection
00601,56,Chelmsford,2501713135,100,0.100948430,59785229.08,59785229.08,592235350.3,st_intersection
00806,57,Chelsea,2502513205,100,0.157693994,6384641.552,6384641.552,40487537.88,st_intersection
00100,58,Cheshire,2500313345,100,0.029077580,71274347.59,71274347.59,2451178767,st_intersection
00401,59,Chester,2501313485,100,0.108307444,96252222.26,96252222.26,888694430.1,st_intersection
00201,60,Chesterfield,2501513590,100,0.027859572,80922903.75,80922903.75,2904671472,st_intersection
00401,61,Chicopee,2501313660,0.002626521,0.000001827,1623.862235,61825589.65,888694430.1,st_intersection
00403,61,Chicopee,2501313660,99.99737348,0.092554375,61823965.78,61825589.65,667974534.9,st_intersection
01301,62,Chilmark,2500713800,100,0.053974966,260152974.3,260152974.3,4819882152,st_intersection
00100,63,Clarksburg,2500314010,100,0.013518582,33136460.74,33136460.74,2451178767,st_intersection
00501,64,Clinton,2502714395,99.9352791,0.012746998,18803963.59,18816141.57,1475167960,st_intersection
00503,64,Clinton,2502714395,0.064720902,0.000027567,12177.97659,18816141.57,441752845.2,st_intersection
01103,65,Cohasset,2502114640,0.004844846,0.000003082,3943.576199,81397350.18,1279489118,st_intersection
00904,65,Cohasset,2502114640,99.99515515,0.403015569,81393406.61,81397350.18,201960948.4,st_intersection
00201,66,Colrain,2501114885,99.99999898,0.038645799,112253350.6,112253351.7,2904671472,st_intersection
00604,67,Concord,2501715060,99.99943636,0.172811856,66902741.65,66903118.75,387142081.2,st_intersection
00607,67,Concord,2501715060,0.000563643,0.000001484,377.0946533,66903118.75,254191294.7,st_intersection
00201,68,Conway,2501115200,100,0.033773827,98101870.84,98101870.84,2904671472,st_intersection
00201,69,Cummington,2501516040,100,0.020566093,59737743.38,59737743.38,2904671472,st_intersection
00100,70,Dalton,2500316180,100,0.023106587,56638375.23,56638375.23,2451178767,st_intersection
00704,71,Danvers,2500916250,100,0.089710014,36736362.97,36736362.97,409501250.6,st_intersection
01004,72,Dartmouth,2500516425,100,0.379650672,252639456.7,252639456.7,665452414.9,st_intersection
00905,73,Dedham,2502116495,0.001759563,0.000002269,486.8886084,27671002.39,214551115.7,st_intersection
00902,73,Dedham,2502116495,99.99824012,0.346579915,27670515.42,27671002.39,79838773.83,st_intersection
00201,74,Deerfield,2501116670,100,0.029827324,86638576.87,86638576.87,2904671472,st_intersection
01301,75,Dennis,2500116775,100,0.012014156,57906814.37,57906814.37,4819882152,st_intersection
01002,76,Dighton,2500516950,100,0.120138588,58554356.81,58554356.81,487390086.5,st_intersection
00507,77,Douglas,2502717300,100,0.115742858,98157144.12,98157144.12,848062208.1,st_intersection
00606,78,Dover,2502117405,0.00337583,0.000004828,1348.115351,39934331.99,279229086.7,st_intersection
00901,78,Dover,2502117405,99.99662417,0.174353795,39932983.88,39934331.99,229034210.4,st_intersection
00603,79,Dracut,2501717475,100,0.310948493,55474261.66,55474261.66,178403378.4,st_intersection
00507,80,Dudley,2502717685,100,0.066851992,56694647.64,56694647.64,848062208.1,st_intersection
00601,81,Dunstable,2501717825,100,0.073270095,43393140.12,43393140.12,592235350.3,st_intersection
01103,82,Duxbury,2502317895,100,0.076103988,97374223.87,97374223.87,1279489118,st_intersection
