zip,muni_name,muni_id
02351,Abington,1
02351,Abington,1
01720,Acton,2
01720,Acton,2
01720,Acton,2
01720,Acton,2
02743,Acushnet,3
01220,Adams,4
01001,Agawam,5
01001,Agawam,5
01001,Agawam,5
01030,Agawam,5
01913,Amesbury,7
01002,Amherst,8
01002,Amherst,8
01002,Amherst,8
01002,Amherst,8
01002,Amherst,8
01059,Amherst,8
01810,Andover,9
01810,Andover,9
01810,Andover,9
01810,Andover,9
02476,Arlington,10
02474,Arlington,10
02476,Arlington,10
02476,Arlington,10
01430,Ashburnham,11
01431,Ashby,12
01330,Ashfield,13
01721,Ashland,14
01331,Athol,15
01331,Athol,15
01331,Athol,15
02703,Attleboro,16
02703,Attleboro,16
02763,Attleboro,16
02763,Attleboro,16
02763,Attleboro,16
02763,Attleboro,16
01501,Auburn,17
02322,Avon,18
01432,Ayer,19
01432,Ayer,19
02630,Barnstable,20
02632,Barnstable,20
02632,Barnstable,20
02632,Barnstable,20
02632,Barnstable,20
02635,Barnstable,20
02637,Barnstable,20
02601,Barnstable,20
02647,Barnstable,20
02648,Barnstable,20
02655,Barnstable,20
02668,Barnstable,20
02672,Barnstable,20
01005,Barre,21
01074,Barre,21
01223,Becket,22
01730,Bedford,23
01007,Belchertown,24
02019,Bellingham,25
02019,Bellingham,25
02478,Belmont,26
02478,Belmont,26
01503,Berlin,28
01337,Bernardston,29
01915,Beverly,30
01915,Beverly,30
01915,Beverly,30
01915,Beverly,30
01965,Beverly,30
01821,Billerica,31
01821,Billerica,31
01821,Billerica,31
01821,Billerica,31
01821,Billerica,31
01821,Billerica,31
01862,Billerica,31
01865,Billerica,31
01866,Billerica,31
01504,Blackstone,32
01008,Blandford,33
01740,Bolton,34
02114,Boston,35
02205,Boston,35
02205,Boston,35
02205,Boston,35
02111,Boston,35
02113,Boston,35
02114,Boston,35
02114,Boston,35
02114,Boston,35
02215,Boston,35
02116,Boston,35
02116,Boston,35
02118,Boston,35
02115,Boston,35
02133,Boston,35
02205,Boston,35
02109,Boston,35
02199,Boston,35
02114,Boston,35
02205,Boston,35
02205,Boston,35
02215,Boston,35
02205,Boston,35
02114,Boston,35
02205,Boston,35
02205,Boston,35
02205,Boston,35
02135,Boston,35
02135,Boston,35
02135,Boston,35
02135,Boston,35
02129,Boston,35
02121,Boston,35
02121,Boston,35
02121,Boston,35
02121,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02122,Boston,35
02125,Boston,35
02125,Boston,35
02125,Boston,35
02125,Boston,35
02124,Boston,35
02124,Boston,35
02124,Boston,35
02124,Boston,35
02128,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02136,Boston,35
02130,Boston,35
02126,Boston,35
02131,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02119,Boston,35
02120,Boston,35
02127,Boston,35
02132,Boston,35
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02532,Bourne,36
02534,Bourne,36
02553,Bourne,36
02559,Bourne,36
02561,Bourne,36
02562,Bourne,36
01921,Boxford,38
01885,Boxford,38
01505,Boylston,39
02184,Braintree,40
02184,Braintree,40
02184,Braintree,40
02631,Brewster,41
02324,Bridgewater,42
01010,Brimfield,43
02302,Brockton,44
02302,Brockton,44
02302,Brockton,44
02301,Brockton,44
02301,Brockton,44
01506,Brookfield,45
02446,Brookline,46
02446,Brookline,46
02445,Brookline,46
02467,Brookline,46
01338,Buckland,47
01803,Burlington,48
01803,Burlington,48
01803,Burlington,48
02139,Cambridge,49
02139,Cambridge,49
02139,Cambridge,49
02140,Cambridge,49
02139,Cambridge,49
02141,Cambridge,49
02139,Cambridge,49
02141,Cambridge,49
02139,Cambridge,49
02138,Cambridge,49
02021,Canton,50
01741,Carlisle,51
02330,Carver,52
02330,Carver,52
02355,Carver,52
02366,Carver,52
01339,Charlemont,53
01339,Charlemont,53
01507,Charlton,54
01507,Charlton,54
01508,Charlton,54
02633,Chatham,55
02650,Chatham,55
02659,Chatham,55
02669,Chatham,55
01824,Chelmsford,56
01824,Chelmsford,56
01863,Chelmsford,56
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
02150,Chelsea,57
01225,Cheshire,58
01011,Chester,59
01012,Chesterfield,60
01012,Chesterfield,60
01020,Chicopee,61
01013,Chicopee,61
01020,Chicopee,61
01020,Chicopee,61
01020,Chicopee,61
02535,Chilmark,62
02535,Chilmark,62
01510,Clinton,64
02025,Cohasset,65
01340,Colrain,66
01742,Concord,67
01742,Concord,67
01341,Conway,68
01026,Cummington,69
01226,Dalton,70
01226,Dalton,70
01923,Danvers,71
01937,Danvers,71
02747,Dartmouth,72
02748,Dartmouth,72
02026,Dedham,73
02026,Dedham,73
01342,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
01373,Deerfield,74
02638,Dennis,75
02639,Dennis,75
02641,Dennis,75
02660,Dennis,75
02670,Dennis,75
02715,Dighton,76
02764,Dighton,76
02764,Dighton,76
