bg10_id,hu_2020,hu_2010,pop_2020,pop_2010,ohu_2020,hu_chng_p,pop_chng_p,hu_chng,pop_chng
250010101001,1271,1136,995,763,607,11.883802816901408,30.40629095674967,135,232
250010101002,957,921,638,494,377,3.908794788273615,29.1497975708502,36,144
250010101003,877,786,643,569,397,11.577608142493638,13.005272407732866,91,74
250010101004,960,791,729,516,439,21.3653603034134,41.27906976744186,169,213
250010101005,918,860,665,600,379,6.744186046511628,10.833333333333334,58,65
250010102061,999,996,926,660,449,0.30120481927710846,40.303030303030305,3,266
250010102062,1386,1429,1116,911,560,-3.0090972708187542,22.502744237102085,-43,205
250010102063,1871,1880,1527,1179,788,-0.4787234042553191,29.51653944020356,-9,348
250010102081,1007,990,893,787,478,1.7171717171717171,13.468869123252858,17,106
250010102082,994,1039,763,603,379,-4.331087584215592,26.533996683250415,-45,160
250010102083,997,1048,795,613,392,-4.866412213740458,29.690048939641112,-51,182
250010103041,1080,1065,1153,1066,560,1.4084507042253522,8.161350844277674,15,87
250010103042,1108,1110,889,742,439,-0.18018018018018017,19.81132075471698,-2,147
250010103043,562,531,630,613,312,5.83804143126177,2.7732463295269167,31,17
250010103061,1231,1238,1114,920,540,-0.5654281098546041,21.086956521739133,-7,194
250010103062,1229,1153,1124,918,548,6.591500433651344,22.440087145969496,76,206
250010103063,899,863,840,697,403,4.171494785631518,20.516499282639884,36,143
250010104001,584,580,825,766,329,0.6896551724137931,7.702349869451696,4,59
250010104002,710,656,872,758,536,8.231707317073171,15.03957783641161,54,114
250010104003,421,398,667,638,322,5.778894472361809,4.545454545454546,23,29
250010104004,742,725,982,837,446,2.344827586206897,17.32377538829152,17,145
250010105001,1127,1072,1217,1233,608,5.130597014925374,-1.2976480129764802,55,-16
250010105002,1184,1157,878,840,455,2.33362143474503,4.523809523809524,27,38
250010105003,770,756,867,818,430,1.8518518518518516,5.990220048899755,14,49
250010106001,743,744,632,614,272,-0.13440860215053765,2.9315960912052117,-1,18
250010106002,655,653,834,807,416,0.3062787136294028,3.3457249070631967,2,27
250010106003,937,954,1182,1125,581,-1.781970649895178,5.066666666666666,-17,57
250010106004,623,647,487,427,262,-3.7094281298299845,14.05152224824356,-24,60
250010107001,802,741,971,930,466,8.232118758434549,4.408602150537634,61,41
250010107002,1640,1665,999,837,535,-1.5015015015015014,19.35483870967742,-25,162
250010107003,1314,1339,895,752,463,-1.8670649738610903,19.01595744680851,-25,143
250010107004,598,600,595,633,301,-0.33333333333333337,-6.003159557661927,-2,-38
250010108001,528,504,944,863,416,4.761904761904762,9.385863267670915,24,81
250010108002,833,822,501,529,271,1.338199513381995,-5.293005671077505,11,-28
250010108003,956,879,805,768,378,8.75995449374289,4.817708333333334,77,37
250010108004,452,451,706,702,332,0.22172949002217296,0.5698005698005698,1,4
250010108005,1307,1132,1962,2016,901,15.459363957597173,-2.6785714285714284,175,-54
250010109001,1190,1166,1862,1826,804,2.0583190394511153,1.9715224534501645,24,36
250010109002,579,570,1143,1043,456,1.5789473684210527,9.587727708533079,9,100
250010109003,1333,1247,1548,1362,774,6.896551724137931,13.656387665198238,86,186
250010109004,1059,1177,832,711,436,-10.025488530161427,17.018284106891702,-118,121
250010110021,416,402,732,673,316,3.482587064676617,8.7667161961367,14,59
250010110022,817,795,971,810,445,2.767295597484277,19.876543209876544,22,161
250010110023,1177,1207,596,502,350,-2.4855012427506216,18.725099601593627,-30,94
250010110024,1167,1108,2307,2172,899,5.324909747292419,6.2154696132596685,59,135
250010111001,688,677,985,979,478,1.6248153618906942,0.6128702757916241,11,6
250010111002,627,591,1210,1070,473,6.091370558375635,13.084112149532709,36,140
250010111003,1015,992,1705,1531,740,2.318548387096774,11.365120836054867,23,174
250010111004,838,824,1181,1114,583,1.6990291262135921,6.014362657091562,14,67
250010112001,1306,1282,1294,1149,652,1.87207488299532,12.619669277632726,24,145
250010112002,808,795,1194,1126,525,1.6352201257861636,6.039076376554174,13,68
250010112003,591,585,565,523,365,1.0256410256410255,8.030592734225621,6,42
250010112004,1033,1026,711,594,369,0.682261208576998,19.696969696969695,7,117
250010113001,980,975,619,639,350,0.5128205128205128,-3.1298904538341157,5,-20
250010113002,865,865,1208,1220,596,0,-0.9836065573770493,0,-12
250010113003,866,850,743,741,348,1.8823529411764703,0.2699055330634278,16,2
250010114001,666,633,783,792,435,5.213270142180095,-1.1363636363636365,33,-9
250010114002,782,783,994,1101,483,-0.1277139208173691,-9.71843778383288,-1,-107
250010114003,614,586,439,429,247,4.778156996587031,2.331002331002331,28,10
250010114004,666,658,834,669,399,1.21580547112462,24.663677130044842,8,165
250010115001,496,477,712,676,315,3.9832285115303985,5.325443786982249,19,36
250010115002,672,669,983,1080,496,0.4484304932735426,-8.981481481481483,3,-97
250010115003,572,547,679,612,337,4.570383912248629,10.947712418300654,25,67
250010115004,563,530,938,867,378,6.226415094339623,8.189158016147635,33,71
250010115005,505,492,818,794,395,2.642276422764228,3.022670025188917,13,24
250010116001,1196,1139,1631,1513,847,5.004389815627744,7.7990746860541975,57,118
250010116002,1219,1245,690,615,366,-2.0883534136546187,12.195121951219512,-26,75
250010116003,2464,2428,683,582,384,1.4827018121911038,17.353951890034363,36,101
250010117001,534,543,630,639,336,-1.6574585635359116,-1.4084507042253522,-9,-9
250010117002,834,846,520,491,269,-1.4184397163120568,5.906313645621181,-12,29
250010117003,1303,1320,766,747,449,-1.2878787878787878,2.5435073627844713,-17,19
250010118011,1042,1092,1472,1480,830,-4.5787545787545785,-0.5405405405405406,-50,-8
250010118012,634,621,971,923,486,2.0933977455716586,5.200433369447454,13,48
250010118021,474,467,844,834,395,1.4989293361884368,1.1990407673860912,7,10
250010118022,497,464,919,844,392,7.112068965517242,8.886255924170616,33,75
250010118023,847,820,1517,1439,660,3.2926829268292686,5.420430854760251,27,78
250010118024,613,609,1178,1138,511,0.6568144499178982,3.5149384885764503,4,40
250010120011,1097,1103,1629,1583,782,-0.543970988213962,2.9058749210360073,-6,46
250010120012,927,925,1591,1505,626,0.21621621621621623,5.714285714285714,2,86
250010120013,727,725,1336,1259,587,0.27586206896551724,6.115965051628276,2,77
250010120014,805,800,1422,1385,637,0.625,2.6714801444043323,5,37
250010120021,795,789,1224,1200,600,0.7604562737642585,2,6,24
250010120022,1213,1153,1288,1112,614,5.203816131830009,15.827338129496402,60,176
250010120023,1248,1229,754,695,420,1.545972335231896,8.489208633093526,19,59
250010121011,794,790,1624,1621,661,0.5063291139240507,0.1850709438618137,4,3
250010121012,605,605,1115,1047,473,0,6.4947468958930274,0,68
250010121013,542,540,970,874,439,0.3703703703703704,10.983981693363845,2,96
250010121014,539,533,820,764,364,1.125703564727955,7.329842931937172,6,56
250010121015,694,696,1079,1033,488,-0.28735632183908044,4.453049370764763,-2,46
250010121021,1017,1026,799,811,402,-0.8771929824561403,-1.4796547472256474,-9,-12
250010121022,988,991,709,683,355,-0.30272452068617556,3.806734992679356,-3,26
250010121023,622,919,606,698,288,-32.3177366702938,-13.18051575931232,-297,-92
250010121024,588,567,1155,865,485,3.7037037037037033,33.52601156069364,21,290
250010122001,710,700,1406,1369,583,1.4285714285714286,2.7027027027027026,10,37
250010122002,502,486,853,836,392,3.292181069958848,2.0334928229665072,16,17
250010122003,1080,1056,2215,2257,887,2.272727272727273,-1.860877270713336,24,-42
250010122004,494,484,579,584,303,2.066115702479339,-0.8561643835616438,10,-5
250010125021,991,1010,807,638,381,-1.881188118811881,26.489028213166144,-19,169
250010125022,647,592,947,826,463,9.29054054054054,14.648910411622277,55,121
250010125023,592,593,1040,885,433,-0.16863406408094433,17.51412429378531,-1,155
250010125024,495,496,915,731,343,-0.20161290322580644,25.170998632010942,-1,184
250010126011,939,857,2164,1865,845,9.56826137689615,16.032171581769436,82,299
250010126012,459,448,1134,1012,403,2.455357142857143,12.055335968379447,11,122
250010126021,609,609,1480,1298,568,0,14.021571648690292,0,182
250010126022,644,633,1765,1403,590,1.7377567140600316,25.80185317177477,11,362
250010126023,549,546,1284,1221,509,0.5494505494505495,5.159705159705159,3,63
250010126024,532,488,1139,993,473,9.01639344262295,14.70292044310171,44,146
250010127001,808,810,1406,1398,638,-0.24691358024691357,0.5722460658082975,-2,8
250010127002,579,598,1009,1015,426,-3.177257525083612,-0.5911330049261084,-19,-6
250010127003,685,686,834,760,386,-0.1457725947521866,9.736842105263158,-1,74
250010127004,1146,1141,1395,1389,595,0.43821209465381245,0.4319654427645789,5,6
250010128001,548,599,1012,911,412,-8.514190317195327,11.086717892425906,-51,101
250010128002,743,730,1186,1139,540,1.7808219178082192,4.1264266900790165,13,47
250010128003,869,842,1923,1873,796,3.2066508313539197,2.669514148424987,27,50
250010129001,509,487,1165,1117,449,4.517453798767967,4.297224709042077,22,48
250010129002,651,639,1502,1395,608,1.8779342723004695,7.670250896057347,12,107
250010129003,805,802,1707,1623,710,0.3740648379052369,5.175600739371535,3,84
250010130021,865,713,557,506,244,21.31837307152875,10.079051383399209,152,51
250010130022,660,682,451,494,243,-3.225806451612903,-8.704453441295547,-22,-43
250010130023,729,699,880,870,457,4.291845493562231,1.1494252873563218,30,10
250010130024,656,644,1096,1029,487,1.8633540372670807,6.511175898931001,12,67
250010131001,616,583,1319,1236,546,5.660377358490567,6.715210355987054,33,83
250010131002,1049,1028,2344,2292,938,2.0428015564202333,2.2687609075043627,21,52
250010131003,296,283,694,685,271,4.593639575971731,1.313868613138686,13,9
250010131004,715,700,1614,1722,669,2.142857142857143,-6.2717770034843205,15,-108
250010132001,1049,1021,1263,1152,599,2.742409402546523,9.635416666666668,28,111
250010132002,1211,1095,2692,2474,1074,10.593607305936073,8.811641067097817,116,218
250010132003,742,732,1180,1157,512,1.366120218579235,1.9878997407087293,10,23
250010133001,480,489,865,882,328,-1.8404907975460123,-1.9274376417233559,-9,-17
250010133002,596,572,1019,961,522,4.195804195804196,6.035379812695109,24,58
250010133003,1015,978,1389,1375,681,3.783231083844581,1.0181818181818183,37,14
250010134001,749,725,764,822,353,3.310344827586207,-7.0559610705596105,24,-58
250010134002,328,325,803,791,293,0.9230769230769231,1.5170670037926675,3,12
250010134003,653,642,1490,1707,594,1.7133956386292832,-12.71236086701816,11,-217
250010134004,626,610,837,843,340,2.622950819672131,-0.7117437722419928,16,-6
250010135001,703,696,1720,1752,624,1.0057471264367817,-1.82648401826484,7,-32
250010135002,515,517,1322,1321,485,-0.3868471953578337,0.0757002271006813,-2,1
250010135003,1197,1181,2826,2839,1100,1.3547840812870449,-0.4579077139837971,16,-13
250010135004,399,396,1017,1028,367,0.7575757575757576,-1.0700389105058365,3,-11
250010136001,1075,1046,2629,2828,1008,2.7724665391969405,-7.036775106082037,29,-199
250010136002,948,920,2460,2389,884,3.0434782608695654,2.971954792800335,28,71
250010136003,401,379,1114,1117,392,5.804749340369393,-0.26857654431512984,22,-3
250010137001,879,843,1574,1411,675,4.270462633451958,11.552090715804395,36,163
250010137002,380,373,731,772,318,1.876675603217158,-5.310880829015544,7,-41
250010137003,466,471,986,988,428,-1.0615711252653928,-0.20242914979757085,-5,-2
250010137004,541,438,2142,1740,454,23.515981735159816,23.103448275862068,103,402
250010138001,1111,1081,2609,2538,1014,2.7752081406105455,2.797478329393223,30,71
250010138002,743,728,1485,1341,579,2.0604395604395602,10.738255033557047,15,144
250010138003,486,461,960,961,430,5.42299349240781,-0.10405827263267431,25,-1
250010139001,506,509,597,556,295,-0.5893909626719057,7.374100719424461,-3,41
250010139002,807,793,1279,1371,590,1.7654476670870116,-6.710430342815463,14,-92
250010139003,1023,991,1805,1766,869,3.229061553985873,2.208380520951302,32,39
250010139004,657,594,1207,1138,575,10.606060606060606,6.063268892794376,63,69
250010140021,1388,1387,1055,938,513,0.07209805335255948,12.473347547974413,1,117
250010140022,961,867,1854,1748,873,10.841983852364475,6.064073226544623,94,106
250010140023,491,479,713,751,406,2.5052192066805845,-5.0599201065246335,12,-38
250010140024,363,341,659,616,295,6.451612903225806,6.98051948051948,22,43
250010141001,342,450,798,1141,165,-24,-30.061349693251532,-108,-343
250010143001,1139,1127,892,747,440,1.064773735581189,19.410977242302543,12,145
250010143002,557,540,825,864,342,3.148148148148148,-4.513888888888888,17,-39
250010143003,534,506,692,603,307,5.533596837944664,14.759535655058043,28,89
250010143004,614,603,1134,1075,506,1.8242122719734661,5.488372093023256,11,59
250010143005,921,900,1051,1095,487,2.3333333333333335,-4.018264840182648,21,-44
250010144021,1283,1208,2252,2180,973,6.208609271523178,3.302752293577982,75,72
250010144022,1085,1045,2322,2199,935,3.827751196172249,5.5934515688949515,40,123
250010144023,1241,1232,2625,2568,1042,0.7305194805194805,2.219626168224299,9,57
250010145001,952,887,1647,1624,717,7.328072153325817,1.416256157635468,65,23
250010145002,1106,1057,2501,2409,957,4.635761589403973,3.8190120381901207,49,92
250010145003,1155,1136,1336,1362,637,1.6725352112676055,-1.908957415565345,19,-26
250010146001,570,541,1121,1078,491,5.360443622920517,3.9888682745825603,29,43
250010146002,623,593,1299,1279,548,5.059021922428331,1.5637216575449568,30,20
250010146003,493,465,599,551,253,6.021505376344086,8.711433756805807,28,48
250010146004,1052,1005,1363,1222,672,4.676616915422885,11.538461538461538,47,141
250010147001,826,877,667,672,329,-5.815279361459521,-0.744047619047619,-51,-5
250010147002,1235,1224,1237,1211,590,0.8986928104575163,2.1469859620148637,11,26
250010147003,1170,1124,1741,1807,850,4.092526690391459,-3.6524626452684004,46,-66
250010148001,671,662,860,831,487,1.3595166163141994,3.489771359807461,9,29
250010148002,1055,1016,883,716,462,3.8385826771653546,23.324022346368714,39,167
250010148003,867,649,1129,1124,773,33.59013867488444,0.4448398576512456,218,5
250010148004,435,413,720,716,373,5.326876513317192,0.5586592178770949,22,4
250010149001,728,697,586,510,299,4.447632711621234,14.901960784313726,31,76
250010149002,894,855,903,896,430,4.56140350877193,0.78125,39,7
250010149003,801,790,820,843,485,1.3924050632911391,-2.7283511269276395,11,-23
250010149004,809,818,1318,1349,625,-1.1002444987775062,-2.2979985174203117,-9,-31
250010150011,1122,1125,2267,2174,923,-0.26666666666666666,4.277828886844526,-3,93
250010150012,913,906,2183,2243,850,0.772626931567329,-2.6749888542131077,7,-60
250010150021,1836,1518,2833,2516,1418,20.948616600790515,12.599364069952305,318,317
250010150022,711,648,1312,1197,622,9.722222222222223,9.60735171261487,63,115
250010151001,1235,1146,2053,1858,892,7.766143106457242,10.495156081808396,89,195
250010151002,1463,1243,2138,1951,1081,17.699115044247787,9.584828293182984,220,187
250010152001,1051,1007,1154,1150,563,4.369414101290963,0.34782608695652173,44,4
250010152002,2426,2288,1109,915,571,6.031468531468532,21.202185792349727,138,194
250010153001,750,290,1110,520,474,158.6206896551724,113.46153846153845,460,590
250010153002,823,869,1349,1263,721,-5.293440736478711,6.809184481393507,-46,86
250010153003,699,672,1494,1255,642,4.017857142857143,19.04382470119522,27,239
250019900000,0,0,0,0,0,NA,NA,0,0
250039001001,567,598,982,990,509,-5.183946488294314,-0.8080808080808081,-31,-8
250039001002,884,812,1177,1130,811,8.866995073891626,4.15929203539823,72,47
250039001003,301,300,404,435,244,0.33333333333333337,-7.126436781609195,1,-31
250039001004,492,475,842,834,395,3.578947368421052,0.9592326139088728,17,8
250039002001,377,368,660,718,359,2.4456521739130435,-8.07799442896936,9,-58
250039002002,320,340,642,676,262,-5.88235294117647,-5.029585798816568,-20,-34
250039002003,516,532,892,932,435,-3.007518796992481,-4.291845493562231,-16,-40
250039002004,310,284,657,608,246,9.15492957746479,8.05921052631579,26,49
250039002005,363,366,790,872,351,-0.819672131147541,-9.403669724770642,-3,-82
250039002006,316,322,619,643,291,-1.8633540372670807,-3.7325038880248838,-6,-24
250039003001,485,479,1047,1053,451,1.2526096033402923,-0.5698005698005698,6,-6
250039003002,368,384,792,808,330,-4.166666666666666,-1.9801980198019802,-16,-16
250039003003,431,432,1009,1042,401,-0.23148148148148145,-3.166986564299424,-1,-33
250039004001,652,626,1237,1213,586,4.15335463258786,1.9785655399835118,26,24
250039004002,570,574,1117,1190,493,-0.6968641114982579,-6.134453781512605,-4,-73
